Mega da Virada 2021

[02, 15, 18, 30, 41, 52]
[36, 38, 39, 41, 42, 52]
[01, 06, 20, 28, 39, 50]
[01, 02, 26, 35, 36, 47]
[02, 04, 16, 18, 45, 48]
[02, 07, 11, 34, 47, 50]
[01, 02, 22, 34, 53, 56]
[02, 04, 08, 16, 19, 56]
[07, 21, 25, 27, 47, 57]
[18, 26, 31, 43, 49, 51]
[22, 30, 37, 56, 58, 59]
[01, 04, 05, 10, 12, 20]
[03, 04, 14, 17, 30, 49]
[13, 28, 32, 33, 49, 57]
[08, 25, 39, 40, 42, 51]
[02, 05, 21, 47, 50, 55]
[01, 23, 27, 41, 44, 56]
[01, 09, 17, 38, 53, 57]
[32, 38, 39, 45, 49, 58]
[02, 10, 17, 29, 32, 50]
